#IP Address,Domain Name 1,Domain Name 2,Domain Name 3,Domain Name 4,ASN
51.15.124.208,dnsnl.alekberg.net,-,-,-,AS12876
2001:bc8:1830:2018::1,dnsnl.alekberg.net,-,-,-,AS12876
46.239.223.80,dns.flatuslifir.is,-,-,-,AS12969
1.1.1.1,one.one.one.one,-,-,-,AS13335
1.0.0.1,1dot1dot1dot1.cloudflare-dns.com,-,-,-,AS13335
2606:4700:4700::1111,one.one.one.one,-,-,-,AS13335
2606:4700:4700::1001,1dot1dot1dot1.cloudflare-dns.com,-,-,-,AS13335
2606:4700:4700::64,dns64.cloudflare-dns.com,-,-,-,AS13335
2606:4700:4700::6400,dns64.cloudflare-dns.com,-,-,-,AS13335
2606:4700:4700::1112,security.cloudflare-dns.com,-,-,-,AS13335
1.1.1.2,security.cloudflare-dns.com,-,-,-,AS13335
1.0.0.2,security.cloudflare-dns.com,-,-,-,AS13335
2606:4700:4700::1002,security.cloudflare-dns.com,-,-,-,AS13335
1.1.1.3,family.cloudflare-dns.com,-,-,-,AS13335
1.0.0.3,family.cloudflare-dns.com,-,-,-,AS13335
2606:4700:4700::1113,family.cloudflare-dns.com,-,-,-,AS13335
2606:4700:4700::1003,family.cloudflare-dns.com,-,-,-,AS13335
104.16.249.249,cloudflare-dns.com,mozilla.cloudflare-dns.com,-,-,AS13335
104.16.248.249,cloudflare-dns.com,mozilla.cloudflare-dns.com,-,-,AS13335
2606:4700::6810:f8f9,cloudflare-dns.com,mozilla.cloudflare-dns.com,-,-,AS13335
2606:4700::6810:f9f9,cloudflare-dns.com,mozilla.cloudflare-dns.com,-,-,AS13335
2606:4700:3034::ac43:b1fc,doh.post-factum.tk,-,-,-,AS13335
2606:4700:3037::6815:335a,doh.post-factum.tk,-,-,-,AS13335
104.21.51.90,doh.post-factum.tk,-,-,-,AS13335
172.67.177.252,doh.post-factum.tk,-,-,-,AS13335
142.93.148.79,ns5.ca.dns.opennic.glue,-,-,-,AS14061
46.101.66.244,doh.li,-,-,-,AS14061
104.236.178.232,dns.dnsoverhttps.net,-,-,-,AS14061
2604:a880:1:20::51:f001,dns.dnsoverhttps.net,-,-,-,AS14061
8.8.8.8,dns.google,google-public-dns-a.google.com,-,-,AS15169
2001:4860:4860::8888,dns.google,google-public-dns-a.google.com,-,-,AS15169
8.8.4.4,dns.google,google-public-dns-b.google.com,-,-,AS15169
2001:4860:4860::8844,dns.google,google-public-dns-b.google.com,-,-,AS15169
2001:4860:4860::6464,dns64.dns.google,-,-,-,AS15169
2001:4860:4860::64,dns64.dns.google,-,-,-,AS15169
35.245.234.132,example.doh.blockerdns.com,-,-,-,AS15169
35.230.160.38,example.doh.blockerdns.com,-,-,-,AS15169
35.231.247.227,example.doh.blockerdns.com,-,-,-,AS15169
35.237.220.84,example.doh.blockerdns.com,-,-,-,AS15169
198.50.135.212,ns8.ca.dns.opennic.glue,-,-,-,AS16276
51.254.25.115,ns1.pra.cz.dns.opennic.glue,-,-,-,AS16276
87.98.175.85,ns10.fr.dns.opennic.glue,-,-,-,AS16276
139.99.222.72,doh-2.seby.io,-,-,-,AS16276
3.7.176.123,dns.arapurayil.com,-,-,-,AS16509
9.9.9.9,ns.quad9.net,dns9.quad9.net,-,-,AS19281
149.112.112.112,dns.quad9.net,rpz-public-resolver1.rrdns.pch.net,-,-,AS19281
149.112.112.10,dns10.quad9.net,-,-,-,AS19281
2620:fe::fe,dns.quad9.net,-,-,-,AS19281
2620:fe::9,dns.quad9.net,-,-,-,AS19281
9.9.9.10,dns10.quad9.net,-,-,-,AS19281
2620:fe::fe:10,dns10.quad9.net,-,-,-,AS19281
2620:fe::10,dns10.quad9.net,-,-,-,AS19281
149.112.112.11,dns11.quad9.net,-,-,-,AS19281
9.9.9.11,dns11.quad9.net,-,-,-,AS19281
2620:fe::11,dns11.quad9.net,-,-,-,AS19281
2620:fe::fe:11,dns11.quad9.net,-,-,-,AS19281
94.16.114.254,ns9.de.dns.opennic.glue,ns28.de.dns.opennic.glue,ns32.de.dns.opennic.glue,ns8.he.de.dns.opennic.glue,AS197540
185.233.107.4,dns.dnshome.de,-,-,-,AS197540
185.233.106.232,dns.dnshome.de,-,-,-,AS197540
2a03:4000:24:361::6e73:32,dns.dnshome.de,-,-,-,AS197540
2a03:4000:24:688::6e73:31,dns.dnshome.de,-,-,-,AS197540
185.194.94.71,dns.circl.lu,-,-,-,AS197869
2a00:5980:94::71,dns.circl.lu,-,-,-,AS197869
24.240.146.7,doh-01.spectrum.com,-,-,-,AS20115
2600:6c7f:f000:202::7,doh-01.spectrum.com,-,-,-,AS20115
2a09:cd42:f:425b::1,dnsse.alekberg.net,-,-,-,AS202448
45.153.187.96,dnsse.alekberg.net,-,-,-,AS202448 
74.118.141.85,dns.nextdns.io,-,-,-,AS20326
204.16.247.177,dns.nextdns.io,-,-,-,AS20326
185.121.177.177,anyone.anyqa.st,-,-,-,AS204136
169.239.202.202,anyone.anyqa.st,-,-,-,AS204136
2a05:dfc7:5::53,anyone.dnsrec.meo.ws,-,-,-,AS204136
2a05:dfc7:5::5353,anyone.dnsrec.meo.ws,-,-,-,AS204136
45.77.180.10,dns.containerpi.com,-,-,-,AS20473
2001:19f0:5801:1daa:5400:1ff:fe95:cf80,doh-2.seby.io,-,-,-,AS20473
45.76.113.31,doh-2.seby.io:8443,-,-,-,AS20473
140.82.59.231,dns.moulticast.net,-,-,-,AS20473
185.228.168.168,family-filter-dns.cleanbrowsing.org,doh.cleanbrowsing.org,-,-,AS205157
185.228.169.168,family-filter-dns.cleanbrowsing.org,-,-,-,AS205157
2a0d:2a00:1::,family-filter-dns.cleanbrowsing.org,-,-,-,AS205157
2a0d:2a00:2::,family-filter-dns.cleanbrowsing.org,-,-,-,AS205157
